FirstName;MiddleInitial;LastName;BirthDate;MaritalStatus;Gender;EmailAddress;YearlyIncome;TotalChildren;NumberChildrenAtHome;Education;Occupation;HouseOwnerFlag;NumberCarsOwned;AddressLine1;AddressLine2;City;State;ZIP;Phone
Todd;;Liu;17/01/1953 00:00;M;M;tliu@lucernepublishing.com;10000;2;1;High Schoo;Manual;1;2;Ohms Road;;Houston;TX;77003;1 (11) 500 555-0183
Amanda;;Reed;08/11/1968 00:00;M;F;areed@lucernepublishing.com;20000;1;1;Partial Co;Manual;1;1;99450 Highway 59 North;;Humble;TX;77338;1 (11) 500 555-0163
Connor;S;Patterson;02/11/1968 00:00;S;M;cpatterson@lucernepublishing.com;110000;1;1;Graduate D;Management;0;2;12345 Sterling Avenue;;Irving;TX;75061;148-555-0148
Tyrone;C;Romero;17/08/1947 00:00;M;M;tromero@lucernepublishing.com;10000;2;1;Partial Hi;Clerical;1;2;90025 Sterling St;;Irving;TX;75061;1 (11) 500 555-0116
Katherine;M;Murphy;05/04/1977 00:00;S;F;kmurphy@lucernepublishing.com;40000;0;0;Partial Hi;Clerical;0;2;9500b E. Central Texas Expressway;;Killeen;TX;76541;435-555-0124
Candace;;Rodriguez;09/05/1949 00:00;S;F;crodriguez@lucernepublishing.com;30000;3;0;Partial Co;Clerical;0;2;Lone Star Factory;;La Marque;TX;77568;1 (11) 500 555-0158
Alexa;;Ramirez;19/03/1973 00:00;S;F;aramirez@lucernepublishing.com;60000;0;0;Partial Co;Skilled Manual;1;2;509 Nafta Boulevard;;Laredo;TX;78040;702-555-0170
Sebastian;;Rivera;07/02/1974 00:00;S;M;srivera@lucernepublishing.com;60000;0;0;Partial Co;Professional;0;2;Town East Center;;Mesquite;TX;75149;924-555-0166
Kelli;M;Guo;06/11/1963 00:00;S;F;kguo@lucernepublishing.com;50000;4;2;Bachelors;Professional;0;2;5700 Legacy Dr;;Plano;TX;75074;734-555-0155
Cassie;;Pal;09/12/1969 00:00;M;F;cpal@treyresearch.net;70000;5;5;Graduate D;Professional;1;2;318 Liana Lane;;Puyallup;WA;98371;221-555-0144
Tonya;M;Yuan;21/10/1967 00:00;S;F;tyuan@treyresearch.net;120000;0;1;Bachelors;Management;0;4;3610 Barberry Court;;Puyallup;WA;98371;317-555-0193
Michele;T;Munoz;05/02/1967 00:00;S;F;mmunoz@treyresearch.net;120000;0;1;Bachelors;Management;0;4;5826 Norman Avenue;;Puyallup;WA;98371;731-555-0116
Bruce;N;Gil;18/10/1979 00:00;S;M;bgil@treyresearch.net;50000;0;0;Partial Co;Skilled Manual;1;1;6178 E. 87th Street;;Puyallup;WA;98371;716-555-0124
Angela;;Bryant;19/05/1978 00:00;M;F;abryant@treyresearch.net;40000;0;0;Partial Hi;Clerical;1;2;6594 Jefferson St.;;Puyallup;WA;98371;148-555-0152
Henry;F;Malhotra;19/09/1975 00:00;S;M;hmalhotra@treyresearch.net;50000;0;0;Partial Co;Skilled Manual;1;2;6827 Seagull Court;;Puyallup;WA;98371;271-555-0142
Rachael;J;Garcia;19/10/1975 00:00;S;F;rgarcia@treyresearch.net;50000;0;0;High Schoo;Skilled Manual;1;2;711 Houston Ct.;;Puyallup;WA;98371;126-555-0174
Arturo;F;She;23/10/1957 00:00;S;M;ashe@treyresearch.net;50000;2;0;High Schoo;Skilled Manual;0;2;7463 Hackney Lane;;Puyallup;wa;98371;1 (11) 500 555-0130
Angel;C;Bell;14/04/1974 00:00;S;M;abell@thephone-company.com;50000;0;0;High Schoo;Professional;0;2;840 Charlotte Ave.;;Puyallup;WA;98371;516-555-0185
Philip;W;Vazquez;18/02/1964 00:00;S;M;pvazquez@thephone-company.com;50000;4;4;Bachelors;Skilled Manual;0;3;9170 Treat Blvd.;;Puyallup;WA;98371;573-555-0185
Barb;;Raje;17/05/1945 00:00;M;F;braje@adatum.com;20000;4;0;High Schoo;Skilled Manual;1;2;3235 Mi Casa Court;;Birmingham;AL;35203;1 (11) 500 555-0155
Jillian;G;Engineer;16/02/1946 00:00;M;F;jengineer@adatum.com;30000;2;0;Partial Co;Clerical;1;2;7725 Luddington Lane;;Birmingham;AL;35203;1 (11) 500 555-0184
Sarah;;Martin;06/12/1948 00:00;M;F;smartin@adatum.com;30000;3;0;Partial Co;Clerical;1;2;656 Cox Creek Pkwy.;;Florence;AL;35630;1 (11) 500 555-0155
Meeghan;A;Gonzalez;16/06/1951 00:00;M;F;mgonzalez@adatum.com;30000;3;0;High Schoo;Skilled Manual;1;2;2525 Electrics Blvd.;;Huntsville;AL;35801;1 (11) 500 555-0130
Ian;E;Evans;17/11/1952 00:00;M;M;ievans@adatum.com;30000;3;0;High Schoo;Skilled Manual;1;2;Parkway City Mall;;Huntsville;AL;35801;1 (11) 500 555-0136
Kristine;;Rubio;19/09/1957 00:00;S;F;krubio@adatum.com;50000;2;0;High Schoo;Professional;0;2;39950 Airport Blvd.;;Mobile;AL;36602;1 (11) 500 555-0165
Tabitha;A;Rubio;05/10/1958 00:00;S;F;trubio@adatum.com;130000;0;1;Graduate D;Management;1;1;574 Atlanta Highway;;Montgomery;Al;36104;1 (11) 500 555-0116
Marvin;;Castro;12/12/1958 00:00;S;M;mcastro@adatum.com;130000;0;1;Graduate D;Management;0;2;4584 Hamiliton Ave.;;Chandler;AZ;85225;1 (11) 500 555-0158
Albert;;Gutierrez;12/09/1957 00:00;S;M;agutierrez@adatum.com;70000;2;1;Partial Co;Professional;0;0;7656 Ramsey Circle;;Chandler;AZ;85225;984-555-0146
Catherine;D;Gray;24/11/1951 00:00;S;F;cgray@adventure-works.com;50000;2;1;High Schoo;Professional;0;2;8671 Appalachia Dr.;;Burbank;CA;91502;801-555-0118
Catherine;D;Grey;24/11/1951 00:00;S;F;cgrey@adventure-works.com;50000;2;1;High Schoo;Professional;0;2;8671 Appalachia Dr.;;Burbank;CA;91502;801-555-0118
Catherine;D;Gray;24/11/1951 00:00;S;F;cgray@adventure-works.com;50000;2;1;High Schoo;Professional;0;2;8671 Appalachia Drive;;Burbank;CA;91502;801-555-0118
Miguel;M;Lopez;22/06/1956 00:00;M;M;mlopez@adventure-works.com;120000;3;4;High Schoo;Professional;1;4;8680 Newell Ave.;;Burbank;CA;91502;1 (11) 500 555-0171
Paula;L;Suarez;17/10/1955 00:00;M;F;psuarez@adventure-works.com;110000;3;4;Partial Co;Professional;1;4;878 Amador Ct;;Burbank;CA;91502;1 (11) 500 555-0137
Andy;;Ruiz;15/07/1933 00:00;M;M;aruiz@adventure-works.com;60000;2;0;Graduate D;Management;1;2;8809 Diablo View Road;;Burbank;CA;91502;174-555-0117
Jarrod;;Sai;20/11/1933 00:00;M;M;jsai@adventure-works.com;90000;4;0;Bachelors;Management;0;1;9365 G St.;;Burbank;CA;91502;898-555-0153
Christina;;Kelly;14/10/1964 00:00;S;F;ckelly@adventure-works.com;110000;3;2;Bachelors;Management;1;4;9919 Macarthur Avenue;;Burbank;CA;91502;402-555-0161
Chris;;Kelly;14/10/1964 00:00;S;M;ckelly@adatum.com;110000;3;2;Bachelors;Management;1;4;9365 G St.;9365 G St.;Burbank;CA;91502;402-555-0161
Christine;;Kelly;14/10/1964 00:00;S;F;kelly@adventure-works.com;110000;3;2;Bachelors;Management;1;4;9919 MCArthur Ave.;;Burbank;CA;91502;402-555-0161
Sophia;C;Collins;09/03/1956 00:00;M;F;scollins@adventure-works.com;70000;3;2;Partial Co;Professional;1;0;1435 Ash Lane;;Burlingame;CA;94010;302-555-0155
Matthew;;Thompson;03/08/1934 00:00;M;M;mthompson@adventure-works.com;60000;2;0;Graduate D;Management;1;2;1500 Grant Street;;Burlingame;CA;94010;386-555-0130
Louis;A;Sharma;13/09/1955 00:00;M;M;lsharma@adventure-works.com;70000;4;3;High Schoo;Professional;1;1;2098 Chilpancingo Pkwy.;;Burlingame;CA;94010;934-555-0118
Shane;A;Perez;01/05/1955 00:00;M;M;sperez@adventure-works.com;70000;4;3;High Schoo;Professional;1;1;2118 Little Dr.;;Burlingame;CA;94010;809-555-0132
Cameron;L;Martin;24/06/1955 00:00;M;M;cmartin@adventure-works.com;90000;2;1;High Schoo;Professional;0;1;2223 Stillwater Court;;Burlingame;CA;94010;133-555-0115
Carmen;;Sanchez;11/10/1963 00:00;S;F;csanchez@adatum.com;70000;0;0;Bachelors;Professional;0;1;870 N. 54th Ave.;;Chandler;AZ;85225;1 (11) 500 555-0167
Terry;;Goel;06/10/1960 00:00;M;M;tgoel@adatum.com;60000;1;0;Partial Co;Skilled Manual;1;1;9980 S Alma School Road;;Chandler;AZ;85225;1 (11) 500 555-0149
Jorge;L;Zeng;21/04/1965 00:00;S;M;jzeng@adatum.com;80000;5;5;Bachelors;Professional;1;4;2551 East Warner Road;;Gilbert;AZ;85233;1 (11) 500 555-0169
Theodore;R;Munoz;12/07/1946 00:00;S;M;tmunoz@adatum.com;10000;5;0;High Schoo;Skilled Manual;1;2;3294 Buena Vista;;Lemon Grove;AZ;85284;1 (11) 500 555-0122
Leonard;L;Sharma;02/02/1937 00:00;S;M;lsharma@adatum.com;40000;2;0;Bachelors;Management;0;2;6441 Co Road;;Lemon Grove;AZ;85252;1 (11) 500 555-0192
Hunter;;Martin;03/10/1978 00:00;S;M;hmartin@adatum.com;40000;0;0;High Schoo;Skilled Manual;0;2;Factory Stores Of America;;Mesa;AZ;85201;535-555-0195
Eugene;L;Hu;15/05/1959 00:00;S;M;ehu@adatum.com;50000;4;0;Graduate D;Skilled Manual;1;0;137 Lancelot Dr;;Phoenix;AZ;85004;128-555-0137
Anna;;Wilson;18/05/1942 00:00;S;F;awilson@adatum.com;120000;2;4;Graduate D;Management;0;3;7709 West Virginia Avenue;;Phoenix;AZ;85004;404-555-0164
Olivia;R;Ross;10/08/1943 00:00;S;F;oross@adatum.com;120000;2;4;Bachelors;Management;1;4;9228 Via Del Sol;;Phoenix;AZ;85004;378-555-0156
Priscilla;;Xie;06/12/1945 00:00;S;F;pxie@adatum.com;60000;4;0;Bachelors;Management;1;2;Arcadia Crossing;;Phoenix;AZ;85004;208-555-0112
Caitlin;C;Gray;10/04/1948 00:00;M;F;cgray@adatum.com;40000;2;1;High Schoo;Professional;1;2;Prime Outlets-new River;;Phoenix;AZ;85004;769-555-0123
Riley;;Morris;10/03/1952 00:00;M;F;rmorris@adatum.com;70000;5;2;Partial Co;Professional;1;2;25250 N 90th St;;Scottsdale;AZ;85257;463-555-0160
Anna;J;Kelly;07/02/1932 00:00;S;F;akelly@adatum.com;80000;3;0;Graduate D;Management;1;1;7750 E Mcdowell Rd;;Scottsdale;AZ;85257;787-555-0191
Christine;S;Sharma;05/07/1962 00:00;S;F;csharma@adatum.com;70000;5;4;Partial Co;Professional;0;3;253731 West Bell Road;;Surprise;AZ;85374;367-555-0149
Robert;R;Hughes;03/03/1962 00:00;M;M;rhughes@adatum.com;80000;5;4;Partial Co;Professional;0;3;6500 East Grant Road;;Tucson;AZ;85701;107-555-0186
Marshall;;Nath;27/03/1935 00:00;S;M;mnath@adatum.com;30000;4;0;High Schoo;Professional;1;2;Factory Stores/tucson;;Tucson;AZ;85701;243-555-0116
Misty;C;Aggarwal;11/09/1938 00:00;S;F;maggarwal@adatum.com;100000;2;3;Graduate D;Management;1;3;Alhambra Marketplace;;Alhambra;CA;91801;225-555-0135
Casey;;Bhat;13/06/1938 00:00;M;F;cbhat@adatum.com;170000;1;1;Graduate D;Management;1;4;Viejas Outlet Center;;Alpine;CA;91901;167-555-0116
Isaac;;Hall;22/04/1962 00:00;S;M;ihall@adatum.com;20000;1;0;Graduate D;Clerical;1;0;4659 Montoya;;Altadena;CA;91001;1 (11) 500 555-0116
Allen;;Engineer;22/04/1961 00:00;S;M;aengineer@adatum.com;20000;1;0;Graduate D;Clerical;1;0;8513 Hurlstone Ct.;;Altadena;CA;91001;1 (11) 500 555-0133
Monique;;Alvarez;21/02/1962 00:00;M;F;malvarez@adatum.com;30000;5;0;Graduate D;Clerical;1;0;99700 Bell Road;;Auburn;CA;95603;1 (11) 500 555-0132
Geoffrey;;Engineer;09/04/1980 00:00;S;M;gengineer@adatum.com;10000;0;0;Partial Co;Manual;0;1;3250 Baldwin Park Blvd;;Baldwin Park;CA;91706;1 (11) 500 555-0119
Tanya;;Hernandez;17/10/1978 00:00;S;F;thernandez@adatum.com;20000;0;0;Bachelors;Clerical;0;0;3723 Mt. Sequoia Ct.;;Barstow;CA;92311;1 (11) 500 555-0183
Makayla;;Richardson;07/03/1943 00:00;M;F;mrichardson@adatum.com;30000;1;0;Bachelors;Clerical;0;0;Factory Merchants;;Barstow;CA;92311;1 (11) 500 555-0139
Deborah;L;Bhat;03/06/1961 00:00;M;F;dbhat@adatum.com;20000;1;1;Partial Co;Manual;1;0;72502 Eastern Ave.;;Bell Gardens;CA;90201;1 (11) 500 555-0136
Kristin;K;Lal;07/01/1969 00:00;M;F;klal@adatum.com;10000;2;2;High Schoo;Manual;1;0;2082 S. Bascom Ave.;;Bellflower;CA;90706;1 (11) 500 555-0114
Andre;R;Fernandez;02/11/1969 00:00;S;M;afernandez@adatum.com;20000;0;0;Partial Co;Manual;1;1;2292 Springlake Drive;;Bellflower;CA;90706;1 (11) 500 555-0184
Priscilla;;Jai;06/09/1969 00:00;S;F;pjai@adatum.com;40000;0;0;Graduate D;Clerical;0;0;2748 Pine St.;;Bellflower;CA;90706;1 (11) 500 555-0137
Stephanie;A;Phillips;21/09/1968 00:00;S;F;sphillips@adatum.com;10000;2;2;High Schoo;Manual;0;1;2755 Fairfield Ave;;Bellflower;CA;90706;1 (11) 500 555-0166
Frederick;;Mehta;23/10/1968 00:00;M;M;fmehta@adatum.com;10000;2;2;High Schoo;Manual;0;1;3462 Briarcliff Ct.;;Bellflower;CA;90706;1 (11) 500 555-0161
Tracy;;Anand;20/06/1953 00:00;S;F;tanand@adatum.com;90000;4;2;Partial Co;Professional;0;2;4159 Apple Drive;;Bellflower;CA;90706;1 (11) 500 555-0115
Kaitlin;M;Fernandez;18/06/1953 00:00;S;F;kfernandez@adatum.com;110000;3;4;Bachelors;Management;1;4;428 Silverado Dr.;;Bellflower;CA;90706;1 (11) 500 555-0152
Levi;D;Srini;15/09/1950 00:00;M;M;lsrini@adatum.com;80000;5;2;High Schoo;Management;1;2;478 Grant St;;Bellflower;CA;90706;1 (11) 500 555-0140
Aimee;E;Xu;24/03/1971 00:00;M;F;axu@adatum.com;90000;0;0;Partial Hi;Professional;0;4;4782 Mt. Whitney Dr.;;Bellflower;CA;90706;1 (11) 500 555-0170
Jerome;M;Alvarez;02/11/1970 00:00;S;M;jalvarez@adatum.com;100000;0;5;High Schoo;Management;0;4;4912 La Vuelta;;Bellflower;CA;90706;1 (11) 500 555-0181
Bianca;E;She;13/09/1941 00:00;M;F;bshe@adatum.com;90000;5;0;Bachelors;Management;1;2;492 Loveridge Circle;;Bellflower;CA;90706;358-555-0112
Barbara;;Shan;01/07/1963 00:00;S;F;bshan@adatum.com;60000;3;2;Bachelors;Professional;0;2;5048 Hawthrone Dr;;Bellflower;CA;90706;1 (11) 500 555-0169
Cassie;R;Bhat;18/01/1963 00:00;M;F;cbhat@adatum.com;70000;0;0;Bachelors;Professional;1;1;5485 Wee Donegal;#27;Bellflower;CA;90706;1 (11) 500 555-0115
Nicholas;;Miller;15/04/1980 00:00;S;M;nmiller@adatum.com;20000;0;0;Partial Hi;Manual;0;2;5648 California St.;;Bellflower;CA;90706;1 (11) 500 555-0151
Frederick;L;Fernandez;08/05/1970 00:00;S;M;ffernandez@adatum.com;40000;2;2;Partial Co;Clerical;1;0;6064 Madrid;;Bellflower;CA;90706;1 (11) 500 555-0152
Jonathan;W;Simmons;07/08/1970 00:00;S;M;jsimmons@adatum.com;40000;2;2;Partial Co;Clerical;0;2;6180 Ryan Court;;Bellflower;CA;90706;1 (11) 500 555-0178
Kristina;;Sanchez;24/02/1953 00:00;S;F;ksanchez@adatum.com;30000;1;0;Bachelors;Skilled Manual;1;1;6228 La Cadena;;Bellflower;CA;90706;139-555-0193
Jason;;Turner;04/10/1955 00:00;S;M;jturner@adatum.com;40000;1;0;Partial Co;Clerical;1;1;6239 Boyd Road;;Bellflower;CA;90706;471-555-0166
Miranda;;Perry;26/09/1958 00:00;M;F;mperry@adatum.com;50000;4;0;Graduate D;Skilled Manual;1;0;6521 D Bel Air Dr;;Bellflower;CA;90706;777-555-0114
Hailey;J;Wright;09/11/1958 00:00;M;F;hwright@adatum.com;50000;4;0;Graduate D;Skilled Manual;1;0;682 Ada Dr.;;Bellflower;CA;90706;117-555-0123
Darryl;H;Zhu;24/08/1967 00:00;M;M;dzhu@adatum.com;20000;1;1;Partial Co;Manual;1;1;7214 Elliott Dr;;Bellflower;CA;90706;1 (11) 500 555-0132
Evan;L;Morris;20/01/1967 00:00;S;M;emorris@adatum.com;20000;1;1;Partial Co;Manual;0;1;7566 Keller Ridge Dr.;;Bellflower;CA;90706;1 (11) 500 555-0182
Carmen;;Rodriguez;27/04/1967 00:00;M;F;crodriguez@adatum.com;40000;0;0;Bachelors;Clerical;1;0;7801 Esperanza;;Bellflower;CA;90706;1 (11) 500 555-0174
Christy;M;Shen;01/02/1965 00:00;M;F;cshen@adatum.com;20000;2;2;High Schoo;Manual;1;0;782 Veale Avenue;;Bellflower;CA;90706;1 (11) 500 555-0134
Dalton;;Price;02/11/1966 00:00;M;M;dprice@adatum.com;30000;2;2;Partial Co;Manual;1;0;7901 Moccasin Ct.;;Bellflower;CA;90706;1 (11) 500 555-0139
Corey;M;Xu;16/07/1966 00:00;M;M;cxu@adatum.com;40000;0;0;Bachelors;Skilled Manual;1;0;9069 Muir Road;;Bellflower;CA;90706;1 (11) 500 555-0147
Calvin;C;Pal;23/03/1965 00:00;M;M;cpal@adatum.com;30000;2;2;Partial Co;Clerical;1;1;182 Perry Way;;Berkeley;CA;94704;1 (11) 500 555-0131
Mason;C;Morgan;16/03/1964 00:00;M;M;mmorgan@adatum.com;30000;2;2;Partial Co;Clerical;1;2;1893 Argyll Ave.;;Berkeley;CA;94704;1 (11) 500 555-0137
Xavier;;Phillips;13/11/1963 00:00;S;M;xphillips@adatum.com;40000;1;0;Bachelors;Skilled Manual;1;0;2059 Brookdale Dr;;Berkeley;CA;94704;1 (11) 500 555-0124
Clarence;E;Lu;15/06/1977 00:00;S;M;clu@adatum.com;30000;0;0;Partial Co;Clerical;1;1;2086 Rotherham Dr.;;Berkeley;CA;94704;1 (11) 500 555-0126
Janelle;M;Verma;07/03/1974 00:00;S;F;jverma@adatum.com;10000;0;0;Partial Hi;Manual;0;2;2313 Santa Cruz Drive;;Berkeley;CA;94704;1 (11) 500 555-0170
Luis;;Evans;22/01/1973 00:00;S;M;levans@adatum.com;50000;1;0;Graduate D;Skilled Manual;0;0;2528 Fall Creek Road;;Berkeley;CA;94704;735-555-0159
Morgan;W;Simmons;22/08/1973 00:00;S;F;msimmons@adatum.com;50000;1;0;Graduate D;Skilled Manual;0;0;3200 Glenmount Drive;;Berkeley;CA;94704;626-555-0115
Sarah;;Hayes;16/03/1971 00:00;S;F;shayes@adatum.com;50000;1;1;Graduate D;Skilled Manual;0;0;3467 Monzeneda Way;;Berkeley;CA;94704;855-555-0114
Jamie;;Gil;19/06/1971 00:00;M;M;jgil@adatum.com;50000;1;1;Graduate D;Skilled Manual;1;0;4535 Sun Hill Lane;;Berkeley;CA;94704;465-555-0168
Terrance;M;Patel;24/01/1970 00:00;S;M;tpatel@adatum.com;50000;1;1;Bachelors;Skilled Manual;1;1;4691 Frisbie Court;;Berkeley;CA;94704;786-555-0131
Jeremiah;E;Williams;26/10/1969 00:00;S;M;jwilliams@adatum.com;60000;1;0;Graduate D;Professional;0;0;5607 Willow Creek Ct.;;Berkeley;CA;94704;845-555-0111
Alicia;;Chande;14/09/1968 00:00;S;F;achande@adatum.com;50000;2;2;Bachelors;Skilled Manual;0;1;5935 Isabel;;Berkeley;CA;94704;751-555-0139
Lauren;;Stewart;04/11/1970 00:00;S;F;lstewart@adatum.com;60000;1;0;Graduate D;Professional;0;0;6123 Lancelot Dr.;;Berkeley;CA;94704;601-555-0191
Gabriella;E;Rogers;10/05/1965 00:00;M;F;grogers@adatum.com;50000;3;3;Bachelors;Skilled Manual;1;2;679 Pepperidge Way;;Berkeley;CA;94704;248-555-0153
Bianca;A;Sun;25/12/1965 00:00;M;F;bsun@adatum.com;50000;3;3;Bachelors;Skilled Manual;1;3;6899 Pembroke Dr.;;Berkeley;CA;94704;796-555-0118
Lauren;C;Martin;04/11/1964 00:00;S;F;lmartin@adatum.com;50000;4;2;Bachelors;Skilled Manual;1;2;6999 Salem St.;;Berkeley;CA;94704;700-555-0195
Marshall;;Ma;24/03/1963 00:00;S;M;mma@adatum.com;50000;4;2;Bachelors;Professional;1;2;7569 Mt. Everest Court;;Berkeley;CA;94704;565-555-0117
Sabrina;P;Ortega;26/03/1961 00:00;S;F;sortega@adatum.com;40000;4;3;High Schoo;Skilled Manual;1;3;8245 Pinehurst Court;;Berkeley;CA;94704;567-555-0127
Abby;;Srini;20/04/1961 00:00;M;F;asrini@adatum.com;40000;4;3;High Schoo;Skilled Manual;1;3;9191 Camelback Ct.;;Berkeley;CA;94704;827-555-0177
Olivia;;Bell;25/04/1961 00:00;M;F;obell@adatum.com;40000;4;2;High Schoo;Skilled Manual;1;2;9216 Sandy Way;;Berkeley;CA;94704;571-555-0116
Pedro;R;Castro;08/11/1960 00:00;S;M;pcastro@adatum.com;50000;1;0;Partial Co;Skilled Manual;1;1;9342 Temple Drive;;Berkeley;CA;94704;184-555-0148
Mitchell;;Goel;01/07/1958 00:00;S;M;mgoel@adatum.com;70000;5;4;Graduate D;Professional;0;1;9344 Stony Hill Circle;;Berkeley;CA;94704;346-555-0142
Geoffrey;I;Prasad;04/11/1968 00:00;M;M;gprasad@adatum.com;60000;2;2;Bachelors;Professional;0;1;9737 Oak Creek Ct;#65;Berkeley;CA;94704;1 (11) 500 555-0175
Adam;R;Yang;25/11/1970 00:00;S;M;ayang@adatum.com;80000;4;4;Graduate D;Management;0;1;9836 Hanson Lane;;Berkeley;CA;94704;1 (11) 500 555-0144
Rosa;;Xu;24/12/1970 00:00;M;F;rxu@adatum.com;90000;2;0;Bachelors;Professional;0;0;9990 Sullivan Ave;;Berkeley;CA;94704;1 (11) 500 555-0116
Kara;T;Xie;16/04/1971 00:00;S;F;kxie@adatum.com;50000;1;1;Graduate D;Skilled Manual;0;0;1342 Isla Bonita;;Beverly Hills;CA;90210;384-555-0133
Christine;;Lal;08/09/1965 00:00;S;F;clal@adatum.com;50000;3;3;Bachelors;Skilled Manual;0;3;1386 Fillet Ave.;;Beverly Hills;CA;90210;608-555-0128
Jessie;C;Lin;08/02/1964 00:00;M;M;jlin@adatum.com;50000;4;4;Bachelors;Skilled Manual;0;3;1726 Hacienda;;Beverly Hills;CA;90210;200-555-0181
William;;Wilson;12/02/1964 00:00;M;M;wwilson@adatum.com;50000;4;2;Bachelors;Skilled Manual;1;2;3213 Glenside Dr;;Beverly Hills;CA;90210;863-555-0162
Carson;E;Ross;02/05/1963 00:00;S;M;cross@adatum.com;60000;3;2;Graduate D;Professional;0;0;3556 Hoek Maple Court;;Beverly Hills;CA;90210;165-555-0110
Mario;C;Yuan;12/05/1962 00:00;M;M;myuan@adatum.com;40000;3;2;High Schoo;Skilled Manual;1;2;3629 Warren St.;;Beverly Hills;CA;90210;840-555-0159
Caroline;;Jenkins;20/04/1961 00:00;M;F;cjenkins@adatum.com;40000;4;3;High Schoo;Skilled Manual;1;3;4070 Orange Street;;Beverly Hills;CA;90210;446-555-0154
Melody;P;Alonso;26/03/1960 00:00;M;F;malonso@adatum.com;40000;4;2;High Schoo;Skilled Manual;1;2;4370 Trafalgar Circle;;Beverly Hills;CA;90210;132-555-0119
Ross;;Gomez;25/08/1960 00:00;M;M;rgomez@adatum.com;40000;4;2;High Schoo;Skilled Manual;1;2;4668 East Avenue;#7;Beverly Hills;CA;90210;193-555-0182
Julia;E;Allen;17/04/1967 00:00;M;F;jallen@adatum.com;60000;0;0;Graduate D;Professional;1;1;4824 Discovery Bay;;Beverly Hills;ca;90210;762-555-0111
Erica;;Li;24/11/1960 00:00;S;F;eli@adatum.com;50000;1;0;Partial Co;Skilled Manual;1;1;6133 Balhan Dr.;;Beverly Hills;CA;90210;543-555-0114
Martha;R;Cai;19/04/1969 00:00;S;F;mcai@adatum.com;90000;1;0;Graduate D;Management;0;0;6524 Geriola Court;;Beverly Hills;CA;90210;1 (11) 500 555-0127
Arturo;J;Bhat;14/09/1966 00:00;M;M;abhat@adatum.com;90000;0;0;Bachelors;Professional;1;0;7040 Isabel Dr.;;Beverly Hills;CA;90210;1 (11) 500 555-0199
Tammy;;Subram;06/09/1966 00:00;M;F;tsubram@adatum.com;90000;0;0;Bachelors;Professional;0;0;7262 Pepperidge Way;;Beverly Hills;CA;90210;1 (11) 500 555-0169
Kellie;W;Jimenez;27/03/1947 00:00;S;F;kjimenez@adatum.com;30000;2;0;Partial Co;Clerical;1;2;7549 Longview Rd.;;Beverly Hills;CA;90210;1 (11) 500 555-0155
Brendan;;Chander;19/06/1977 00:00;S;M;bchander@adatum.com;50000;0;0;Partial Co;Skilled Manual;1;2;7853 Millfield Place;;Beverly Hills;CA;90210;760-555-0123
